time (us),channelA(V),channelB(V),channelB(V)
0,0.05,1.35,-0.35
2,0.05,1.1,-0.45
4,0.05,0.8,-0.45
6,0.05,0.55,-0.45
8,0.05,0.2,-0.45
10,0.1,-0.05,-0.45
12,0.1,-0.3,-0.45
14,0.1,-0.6,-0.45
16,0.1,-0.9,-0.45
18,0.1,-1.15,-0.45
20,0.1,-1.45,-0.45
22,0.1,-1.55,-0.45
24,0.1,-1.7,-0.45
26,0.1,-1.75,-0.45
28,0.1,-1.75,-0.45
30,0.1,-1.75,-0.45
32,0.05,-1.75,-0.45
34,0.05,-1.7,-0.45
36,0.05,-1.7,-0.45
38,0.05,-1.7,-0.45
40,0.05,-1.7,-0.45
42,0.0,-1.7,-0.45
44,0.0,-1.65,-0.45
46,0.0,-1.55,-0.45
48,0.0,-1.45,-0.45
50,-0.05,-1.35,-0.45
52,-0.05,-1.15,-0.4
54,-0.05,-1.0,-0.4
56,-0.05,-0.75,-0.35
58,-0.1,-0.45,-0.3
60,-0.1,-0.25,-0.25
62,-0.1,0.0,-0.15
64,-0.1,0.3,-0.05
66,-0.1,0.55,0.05
68,-0.1,0.85,0.15
70,-0.1,1.1,0.3
72,-0.1,1.3,0.4
74,-0.1,1.55,0.5
76,-0.1,1.7,0.6
78,-0.1,1.8,0.65
80,-0.1,2.05,0.7
82,-0.05,2.15,0.75
84,-0.05,2.15,0.75
86,-0.05,2.2,0.7
88,-0.05,2.15,0.6
90,-0.05,2.05,0.5
92,0.0,2.05,0.35
94,0.0,1.9,0.2
96,0.0,1.75,0.05
98,0.0,1.55,-0.15
100,0.05,1.35,-0.35
102,0.05,1.05,-0.45
104,0.05,0.85,-0.45
106,0.05,0.55,-0.45
108,0.05,0.25,-0.45
110,0.1,-0.05,-0.45
112,0.1,-0.35,-0.45
114,0.1,-0.65,-0.45
116,0.1,-0.85,-0.45
118,0.1,-1.15,-0.45
120,0.1,-1.4,-0.45
122,0.1,-1.6,-0.45
124,0.1,-1.7,-0.45
126,0.1,-1.7,-0.45
128,0.1,-1.75,-0.45
130,0.1,-1.75,-0.45
132,0.05,-1.75,-0.45
134,0.05,-1.75,-0.45
136,0.05,-1.75,-0.45
138,0.05,-1.7,-0.45
140,0.05,-1.7,-0.45
142,0.0,-1.7,-0.45
144,0.0,-1.65,-0.45
146,0.0,-1.55,-0.45
148,-0.05,-1.5,-0.45
150,-0.05,-1.3,-0.45
152,-0.05,-1.15,-0.4
154,-0.05,-1.0,-0.4
156,-0.05,-0.75,-0.4
158,-0.1,-0.5,-0.35
160,-0.1,-0.3,-0.25
162,-0.1,0.05,-0.15
164,-0.1,0.3,-0.05
166,-0.1,0.55,0.05
168,-0.1,0.85,0.15
170,-0.1,1.05,0.3
172,-0.1,1.3,0.4
174,-0.1,1.55,0.5
176,-0.1,1.7,0.6
178,-0.1,1.9,0.65
180,-0.1,2.0,0.7
182,-0.05,2.05,0.7
184,-0.05,2.15,0.7
186,-0.05,2.2,0.65
188,-0.05,2.15,0.6
190,-0.05,2.1,0.5
192,0.0,2.05,0.35
194,0.0,1.85,0.2
196,0.0,1.75,0.0
198,0.0,1.6,-0.2
200,0.05,1.3,-0.35
202,0.05,1.1,-0.45
204,0.05,0.85,-0.45
206,0.05,0.5,-0.45
208,0.05,0.3,-0.45
210,0.1,0.0,-0.45
212,0.1,-0.35,-0.45
214,0.1,-0.6,-0.45
216,0.1,-0.9,-0.45
218,0.1,-1.2,-0.45
220,0.1,-1.35,-0.45
222,0.1,-1.6,-0.45
224,0.1,-1.7,-0.45
226,0.1,-1.75,-0.45
228,0.1,-1.75,-0.45
230,0.1,-1.75,-0.45
232,0.05,-1.75,-0.45
234,0.05,-1.75,-0.45
236,0.05,-1.7,-0.45
238,0.05,-1.7,-0.45
240,0.05,-1.7,-0.45
242,0.0,-1.7,-0.45
244,0.0,-1.6,-0.45
246,0.0,-1.55,-0.45
248,0.0,-1.45,-0.45
250,-0.05,-1.35,-0.45
252,-0.05,-1.2,-0.4
254,-0.05,-0.95,-0.4
256,-0.05,-0.7,-0.4
258,-0.1,-0.5,-0.35
260,-0.1,-0.25,-0.25
262,-0.1,0.0,-0.2
264,-0.1,0.25,-0.05
266,-0.1,0.6,0.0
268,-0.1,0.85,0.15
270,-0.1,1.1,0.25
272,-0.1,1.35,0.4
274,-0.1,1.55,0.5
276,-0.1,1.65,0.6
278,-0.1,1.9,0.65
280,-0.1,2.05,0.7
282,-0.05,2.1,0.7
284,-0.05,2.2,0.7
286,-0.05,2.2,0.65
288,-0.05,2.15,0.6
290,-0.05,2.15,0.45
292,0.0,2.05,0.35
294,0.0,1.9,0.2
296,0.0,1.75,0.0
298,0.0,1.55,-0.15
300,0.05,1.3,-0.35
302,0.05,1.15,-0.45
304,0.05,0.85,-0.45
306,0.05,0.55,-0.45
308,0.05,0.25,-0.45
310,0.1,-0.05,-0.45
312,0.1,-0.3,-0.45
314,0.1,-0.55,-0.45
316,0.1,-0.9,-0.45
318,0.1,-1.15,-0.45
320,0.1,-1.4,-0.45
322,0.1,-1.6,-0.45
324,0.1,-1.7,-0.45
326,0.1,-1.75,-0.45
328,0.1,-1.75,-0.45
330,0.1,-1.75,-0.45
332,0.05,-1.75,-0.45
334,0.05,-1.75,-0.45
336,0.05,-1.7,-0.45
338,0.05,-1.7,-0.45
340,0.05,-1.7,-0.45
342,0.0,-1.7,-0.45
344,0.0,-1.65,-0.45
346,0.0,-1.6,-0.45
348,0.0,-1.45,-0.45
350,-0.05,-1.3,-0.45
352,-0.05,-1.15,-0.4
354,-0.05,-0.95,-0.4
356,-0.05,-0.75,-0.35
358,-0.1,-0.55,-0.3
360,-0.1,-0.2,-0.25
362,-0.1,0.05,-0.15
364,-0.1,0.3,-0.05
366,-0.1,0.6,0.05
368,-0.1,0.8,0.15
370,-0.1,1.05,0.3
372,-0.1,1.35,0.4
374,-0.1,1.55,0.5
376,-0.1,1.7,0.6
378,-0.1,1.9,0.65
380,-0.1,2.0,0.7
382,-0.05,2.1,0.75
384,-0.05,2.2,0.75
386,-0.05,2.2,0.7
388,-0.05,2.15,0.6
390,-0.05,2.1,0.5
392,0.0,2.0,0.4
394,0.0,1.9,0.25
396,0.0,1.75,0.05
398,0.0,1.55,-0.15
400,0.05,1.35,-0.35
402,0.05,1.1,-0.45
404,0.05,0.75,-0.45
406,0.05,0.55,-0.45
408,0.05,0.3,-0.45
410,0.1,-0.05,-0.45
412,0.1,-0.3,-0.45
414,0.1,-0.6,-0.45
416,0.1,-0.95,-0.45
418,0.1,-1.1,-0.45
420,0.1,-1.35,-0.45
422,0.1,-1.6,-0.45
424,0.1,-1.7,-0.45
426,0.1,-1.75,-0.45
428,0.1,-1.75,-0.45
430,0.1,-1.75,-0.45
432,0.05,-1.75,-0.45
434,0.05,-1.75,-0.45
436,0.05,-1.7,-0.45
438,0.05,-1.7,-0.45
440,0.05,-1.7,-0.45
442,0.0,-1.65,-0.45
444,0.0,-1.65,-0.45
446,0.0,-1.55,-0.45
448,0.0,-1.45,-0.45
450,-0.05,-1.35,-0.4
452,-0.05,-1.2,-0.4
454,-0.05,-0.95,-0.4
456,-0.05,-0.75,-0.35
458,-0.1,-0.5,-0.3
460,-0.1,-0.25,-0.25
462,-0.1,0.0,-0.15
464,-0.1,0.3,-0.05
466,-0.1,0.6,0.05
468,-0.1,0.85,0.2
470,-0.1,1.1,0.3
472,-0.1,1.3,0.4
474,-0.1,1.5,0.55
476,-0.1,1.75,0.65
478,-0.1,1.9,0.65
480,-0.1,2.0,0.75
482,-0.05,2.1,0.75
484,-0.05,2.15,0.75
486,-0.05,2.1,0.7
488,-0.05,2.2,0.65
490,-0.05,2.15,0.5
492,0.0,2.0,0.4
494,0.0,1.9,0.25
496,0.0,1.75,0.05
498,0.0,1.45,-0.15
500,0.05,1.35,-0.35
502,0.05,1.1,-0.45
504,0.05,0.8,-0.45
506,0.05,0.55,-0.45
508,0.05,0.25,-0.45
510,0.1,-0.1,-0.45
512,0.1,-0.3,-0.45
514,0.1,-0.6,-0.45
516,0.1,-0.9,-0.45
518,0.1,-1.15,-0.45
520,0.1,-1.4,-0.45
522,0.1,-1.6,-0.45
524,0.1,-1.7,-0.45
526,0.1,-1.75,-0.45
528,0.1,-1.75,-0.45
530,0.1,-1.75,-0.45
532,0.05,-1.75,-0.45
534,0.05,-1.75,-0.45
536,0.05,-1.7,-0.45
538,0.05,-1.7,-0.45
540,0.05,-1.7,-0.45
542,0.0,-1.65,-0.45
544,0.0,-1.65,-0.45
546,0.0,-1.6,-0.45
548,0.0,-1.45,-0.45
550,-0.05,-1.35,-0.45
552,-0.05,-1.15,-0.4
554,-0.05,-0.95,-0.4
556,-0.05,-0.8,-0.35
558,-0.1,-0.5,-0.3
560,-0.1,-0.25,-0.25
562,-0.1,0.0,-0.15
564,-0.1,0.3,-0.05
566,-0.1,0.55,0.05
568,-0.1,0.75,0.2
570,-0.1,1.1,0.3
572,-0.1,1.35,0.4
574,-0.1,1.5,0.55
576,-0.1,1.75,0.65
578,-0.1,1.85,0.7
580,-0.1,1.95,0.75
582,-0.05,2.15,0.75
584,-0.05,2.2,0.75
586,-0.05,2.2,0.7
588,-0.05,2.2,0.65
590,-0.05,2.15,0.55
592,0.0,1.95,0.4
594,0.0,1.95,0.25
596,0.0,1.75,0.05
598,0.0,1.55,-0.1
600,0.05,1.35,-0.3
602,0.05,1.1,-0.45
604,0.05,0.8,-0.45
606,0.05,0.6,-0.45
608,0.1,0.25,-0.45
610,0.1,-0.05,-0.45
612,0.1,-0.3,-0.45
614,0.1,-0.65,-0.45
616,0.1,-0.9,-0.45
618,0.1,-1.1,-0.45
620,0.1,-1.4,-0.45
622,0.1,-1.6,-0.45
624,0.1,-1.7,-0.45
626,0.1,-1.75,-0.45
628,0.1,-1.75,-0.45
630,0.1,-1.75,-0.45
632,0.05,-1.75,-0.45
634,0.05,-1.75,-0.45
636,0.05,-1.7,-0.45
638,0.05,-1.7,-0.45
640,0.05,-1.7,-0.45
642,0.0,-1.65,-0.45
644,0.0,-1.65,-0.45
646,0.0,-1.55,-0.45
648,0.0,-1.45,-0.45
650,-0.05,-1.35,-0.4
652,-0.05,-1.15,-0.4
654,-0.05,-0.95,-0.4
656,-0.05,-0.75,-0.35
658,-0.1,-0.5,-0.3
660,-0.1,-0.25,-0.25
662,-0.1,-0.05,-0.15
664,-0.1,0.3,-0.05
666,-0.1,0.6,0.05
668,-0.1,0.8,0.2
670,-0.1,1.05,0.3
672,-0.1,1.3,0.4
674,-0.1,1.45,0.55
676,-0.1,1.75,0.65
678,-0.1,1.9,0.7
680,-0.1,2.0,0.75
682,-0.05,2.1,0.75
684,-0.05,2.15,0.75
686,-0.05,2.1,0.7
688,-0.05,2.2,0.65
690,-0.05,2.15,0.55
692,0.0,2.0,0.4
694,0.0,1.9,0.25
696,0.0,1.75,0.05
698,0.0,1.5,-0.15
700,0.05,1.35,-0.3
702,0.05,1.1,-0.45
704,0.05,0.8,-0.45
706,0.05,0.55,-0.45
708,0.05,0.25,-0.45
710,0.1,-0.1,-0.45
712,0.1,-0.3,-0.45
714,0.1,-0.6,-0.45
716,0.1,-0.9,-0.45
718,0.1,-1.15,-0.45
720,0.1,-1.4,-0.45
722,0.1,-1.6,-0.45
724,0.1,-1.7,-0.45
726,0.1,-1.75,-0.45
728,0.1,-1.75,-0.45
730,0.1,-1.75,-0.45
732,0.05,-1.75,-0.45
734,0.05,-1.75,-0.45
736,0.05,-1.7,-0.45
738,0.05,-1.7,-0.45
740,0.05,-1.7,-0.45
742,0.0,-1.7,-0.45
744,0.0,-1.65,-0.45
746,0.0,-1.6,-0.45
748,0.0,-1.45,-0.45
750,-0.05,-1.35,-0.4
752,-0.05,-1.15,-0.4
754,-0.05,-0.95,-0.4
756,-0.05,-0.75,-0.35
758,-0.1,-0.5,-0.3
760,-0.1,-0.2,-0.25
762,-0.1,0.0,-0.15
764,-0.1,0.3,-0.05
766,-0.1,0.55,0.05
768,-0.1,0.8,0.2
770,-0.1,1.1,0.3
772,-0.1,1.35,0.45
774,-0.1,1.5,0.55
776,-0.1,1.7,0.65
778,-0.1,1.9,0.7
780,-0.1,1.95,0.75
782,-0.05,2.1,0.75
784,-0.05,2.2,0.75
786,-0.05,2.2,0.7
788,-0.05,2.15,0.65
790,-0.05,2.1,0.55
792,0.0,1.95,0.4
794,0.0,1.9,0.25
796,0.0,1.75,0.1
798,0.0,1.55,-0.1
800,0.05,1.35,-0.3
802,0.05,1.1,-0.45
804,0.05,0.75,-0.45
806,0.05,0.6,-0.45
808,0.05,0.3,-0.45
810,0.1,-0.05,-0.45
812,0.1,-0.3,-0.45
814,0.1,-0.6,-0.45
816,0.1,-0.95,-0.45
818,0.1,-1.1,-0.45
820,0.1,-1.35,-0.45
822,0.1,-1.6,-0.45
824,0.1,-1.7,-0.45
826,0.1,-1.75,-0.45
828,0.1,-1.75,-0.45
830,0.1,-1.75,-0.45
832,0.05,-1.75,-0.45
834,0.05,-1.75,-0.45
836,0.05,-1.7,-0.45
838,0.05,-1.7,-0.45
840,0.05,-1.7,-0.45
842,0.0,-1.65,-0.45
844,0.0,-1.65,-0.45
846,0.0,-1.55,-0.45
848,0.0,-1.45,-0.45
850,-0.05,-1.35,-0.4
852,-0.05,-1.2,-0.4
854,-0.05,-0.95,-0.4
856,-0.05,-0.75,-0.35
858,-0.1,-0.5,-0.3
860,-0.1,-0.25,-0.25
862,-0.1,0.0,-0.15
864,-0.1,0.25,-0.05
866,-0.1,0.6,0.05
868,-0.1,0.85,0.2
870,-0.1,1.1,0.3
872,-0.1,1.35,0.45
874,-0.1,1.55,0.55
876,-0.1,1.7,0.6
878,-0.1,1.95,0.7
880,-0.1,2.0,0.75
882,-0.05,2.1,0.75
884,-0.05,2.15,0.75
886,-0.05,2.15,0.7
888,-0.05,2.15,0.65
890,-0.05,2.15,0.55
892,0.0,2.05,0.4
894,0.0,1.9,0.25
896,0.0,1.75,0.05
898,0.0,1.5,-0.1
900,0.05,1.3,-0.3
902,0.05,1.1,-0.45
904,0.05,0.85,-0.45
906,0.05,0.55,-0.45
908,0.05,0.25,-0.45
910,0.1,-0.05,-0.45
912,0.1,-0.35,-0.45
914,0.1,-0.55,-0.45
916,0.1,-0.9,-0.45
918,0.1,-1.15,-0.45
920,0.1,-1.4,-0.45
922,0.1,-1.6,-0.45
924,0.1,-1.7,-0.45
926,0.1,-1.7,-0.45
928,0.1,-1.75,-0.45
930,0.1,-1.75,-0.45
932,0.05,-1.75,-0.45
934,0.05,-1.75,-0.45
936,0.05,-1.7,-0.45
938,0.05,-1.7,-0.45
940,0.05,-1.7,-0.45
942,0.0,-1.7,-0.45
944,0.0,-1.65,-0.45
946,0.0,-1.6,-0.45
948,0.0,-1.45,-0.45
950,-0.05,-1.3,-0.45
952,-0.05,-1.2,-0.4
954,-0.05,-0.95,-0.4
956,-0.05,-0.75,-0.35
958,-0.1,-0.6,-0.3
960,-0.1,-0.25,-0.25
962,-0.1,0.05,-0.15
964,-0.1,0.3,-0.05
966,-0.1,0.55,0.05
968,-0.1,0.8,0.2
970,-0.1,1.0,0.3
972,-0.1,1.35,0.4
974,-0.1,1.55,0.55
976,-0.1,1.7,0.6
978,-0.1,1.9,0.7
980,-0.1,2.0,0.75
982,-0.05,2.05,0.75
984,-0.05,2.2,0.75
986,-0.05,2.2,0.7
988,-0.05,2.15,0.6
990,-0.05,2.15,0.55
992,0.0,2.05,0.4
994,0.0,1.85,0.25
996,0.0,1.75,0.05
998,0.0,1.55,-0.15
1000,0.05,1.3,-0.35
