Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,Hallspannung,,Längsspannung,,Temperatur,
2026-05-19,15:21:19.405440,1779196879.40544,s,570.052322,s,35.90625,mV,1.6643749475479126,V,45.474998474121094,°C
2026-05-19,15:21:24.390695,1779196884.390695,s,575.037577,s,35.921875,mV,1.662500023841858,V,45.275001525878906,°C
2026-05-19,15:21:29.406631,1779196889.406631,s,580.053513,s,35.9296875,mV,1.6603749990463257,V,45.0625,°C
2026-05-19,15:21:34.392200,1779196894.3922,s,585.039082,s,35.9375,mV,1.6584999561309814,V,44.86249923706055,°C
2026-05-19,15:21:39.406918,1779196899.406918,s,590.0538,s,35.9453125,mV,1.656499981880188,V,44.662498474121094,°C
2026-05-19,15:21:44.392594,1779196904.392594,s,595.039476,s,35.953125,mV,1.6546250581741333,V,44.462501525878906,°C
2026-05-19,15:21:49.407311,1779196909.407311,s,600.054193,s,35.9609375,mV,1.652750015258789,V,44.275001525878906,°C
2026-05-19,15:21:54.393136,1779196914.393136,s,605.040018,s,35.96875,mV,1.6510000228881836,V,44.087501525878906,°C
2026-05-19,15:21:59.408834,1779196919.408834,s,610.055716,s,35.9765625,mV,1.6491249799728394,V,43.900001525878906,°C
2026-05-19,15:22:04.394706,1779196924.394706,s,615.041588,s,35.9765625,mV,1.6473749876022339,V,43.724998474121094,°C
2026-05-19,15:22:09.409257,1779196929.409257,s,620.056139,s,35.9765625,mV,1.6456249952316284,V,43.537498474121094,°C
2026-05-19,15:22:14.395880,1779196934.39588,s,625.042762,s,35.984375,mV,1.643875002861023,V,43.36249923706055,°C
2026-05-19,15:22:19.409699,1779196939.409699,s,630.056581,s,35.9921875,mV,1.6422499418258667,V,43.20000076293945,°C
2026-05-19,15:22:24.397098,1779196944.397098,s,635.04398,s,35.9921875,mV,1.640625,V,43.025001525878906,°C
2026-05-19,15:22:29.410779,1779196949.410779,s,640.057661,s,35.9921875,mV,1.6388750076293945,V,42.86249923706055,°C
2026-05-19,15:22:34.397583,1779196954.397583,s,645.044465,s,35.9921875,mV,1.637374997138977,V,42.70000076293945,°C
2026-05-19,15:22:39.411852,1779196959.411852,s,650.058734,s,35.9921875,mV,1.6357500553131104,V,42.537498474121094,°C
2026-05-19,15:22:44.398139,1779196964.398139,s,655.045021,s,35.9921875,mV,1.6342500448226929,V,42.38750076293945,°C
2026-05-19,15:22:49.412737,1779196969.412737,s,660.059619,s,35.9921875,mV,1.6327500343322754,V,42.23749923706055,°C
2026-05-19,15:22:54.399204,1779196974.399204,s,665.046086,s,35.9921875,mV,1.631250023841858,V,42.087501525878906,°C
2026-05-19,15:22:59.413850,1779196979.41385,s,670.060732,s,35.9921875,mV,1.6297500133514404,V,41.9375,°C
2026-05-19,15:23:04.399725,1779196984.399725,s,675.046607,s,35.9921875,mV,1.628250002861023,V,41.787498474121094,°C
2026-05-19,15:23:09.414586,1779196989.414586,s,680.061468,s,35.9921875,mV,1.6268750429153442,V,41.650001525878906,°C
2026-05-19,15:23:14.400625,1779196994.400625,s,685.047507,s,35.9921875,mV,1.625499963760376,V,41.51250076293945,°C
2026-05-19,15:23:19.415143,1779196999.415143,s,690.062025,s,35.984375,mV,1.6241250038146973,V,41.375,°C
2026-05-19,15:23:24.400897,1779197004.400897,s,695.047779,s,35.984375,mV,1.6228749752044678,V,41.23749923706055,°C
2026-05-19,15:23:29.415570,1779197009.41557,s,700.062452,s,35.9765625,mV,1.6213749647140503,V,41.099998474121094,°C
2026-05-19,15:23:34.401421,1779197014.401421,s,705.048303,s,35.9765625,mV,1.6201250553131104,V,40.974998474121094,°C
2026-05-19,15:23:39.416093,1779197019.416093,s,710.062975,s,35.9765625,mV,1.6188750267028809,V,40.837501525878906,°C
2026-05-19,15:23:44.401961,1779197024.401961,s,715.048843,s,35.96875,mV,1.6176249980926514,V,40.712501525878906,°C
2026-05-19,15:23:49.416560,1779197029.41656,s,720.063442,s,35.96875,mV,1.6163749694824219,V,40.587501525878906,°C
2026-05-19,15:23:54.402501,1779197034.402501,s,725.049383,s,35.9609375,mV,1.6152499914169312,V,40.474998474121094,°C
2026-05-19,15:23:59.417581,1779197039.417581,s,730.064463,s,35.953125,mV,1.6139999628067017,V,40.36249923706055,°C
2026-05-19,15:24:04.403084,1779197044.403084,s,735.049966,s,35.9453125,mV,1.612874984741211,V,40.23749923706055,°C
2026-05-19,15:24:09.417868,1779197049.417868,s,740.06475,s,35.9375,mV,1.6117500066757202,V,40.125,°C
2026-05-19,15:24:14.404174,1779197054.404174,s,745.051056,s,35.9375,mV,1.6106250286102295,V,40.01250076293945,°C
2026-05-19,15:24:19.418250,1779197059.41825,s,750.065132,s,35.9296875,mV,1.6095000505447388,V,39.900001525878906,°C
2026-05-19,15:24:24.404623,1779197064.404623,s,755.051505,s,35.921875,mV,1.6083749532699585,V,39.787498474121094,°C
2026-05-19,15:24:29.418703,1779197069.418703,s,760.065585,s,35.9140625,mV,1.6073750257492065,V,39.67499923706055,°C
2026-05-19,15:24:34.405135,1779197074.405135,s,765.052017,s,35.9140625,mV,1.6062500476837158,V,39.57500076293945,°C
2026-05-19,15:24:39.418938,1779197079.418938,s,770.06582,s,35.9140625,mV,1.6051249504089355,V,39.474998474121094,°C
2026-05-19,15:24:44.405598,1779197084.405598,s,775.05248,s,35.9140625,mV,1.6041250228881836,V,39.375,°C
2026-05-19,15:24:49.419197,1779197089.419197,s,780.066079,s,35.9140625,mV,1.603124976158142,V,39.275001525878906,°C
2026-05-19,15:24:54.406100,1779197094.4061,s,785.052982,s,35.9140625,mV,1.6019999980926514,V,39.17499923706055,°C
2026-05-19,15:24:59.419464,1779197099.419464,s,790.066346,s,35.9140625,mV,1.6009999513626099,V,39.07500076293945,°C
2026-05-19,15:25:04.406368,1779197104.406368,s,795.05325,s,35.921875,mV,1.600000023841858,V,38.98749923706055,°C
2026-05-19,15:25:09.420004,1779197109.420004,s,800.066886,s,35.921875,mV,1.5989999771118164,V,38.88750076293945,°C
2026-05-19,15:25:14.406734,1779197114.406734,s,805.053616,s,35.921875,mV,1.5981249809265137,V,38.787498474121094,°C
2026-05-19,15:25:19.421190,1779197119.42119,s,810.068072,s,35.921875,mV,1.5971250534057617,V,38.70000076293945,°C
2026-05-19,15:25:24.407094,1779197124.407094,s,815.053976,s,35.921875,mV,1.596250057220459,V,38.61249923706055,°C
2026-05-19,15:25:29.422494,1779197129.422494,s,820.069376,s,35.9140625,mV,1.5953749418258667,V,38.525001525878906,°C
2026-05-19,15:25:34.408405,1779197134.408405,s,825.055287,s,35.9140625,mV,1.594499945640564,V,38.4375,°C
2026-05-19,15:25:39.423026,1779197139.423026,s,830.069908,s,35.9140625,mV,1.593500018119812,V,38.349998474121094,°C
2026-05-19,15:25:44.408828,1779197144.408828,s,835.05571,s,35.9140625,mV,1.5927499532699585,V,38.26250076293945,°C
2026-05-19,15:25:49.423525,1779197149.423525,s,840.070407,s,35.90625,mV,1.5918749570846558,V,38.1875,°C
2026-05-19,15:25:54.409955,1779197154.409955,s,845.056837,s,35.90625,mV,1.590999960899353,V,38.099998474121094,°C
2026-05-19,15:25:59.424114,1779197159.424114,s,850.070996,s,35.90625,mV,1.590250015258789,V,38.025001525878906,°C
2026-05-19,15:26:04.410253,1779197164.410253,s,855.057135,s,35.8984375,mV,1.5893750190734863,V,37.95000076293945,°C
2026-05-19,15:26:09.424650,1779197169.42465,s,860.071532,s,35.8984375,mV,1.5886249542236328,V,37.875,°C
2026-05-19,15:26:14.411472,1779197174.411472,s,865.058354,s,35.8984375,mV,1.5878750085830688,V,37.79999923706055,°C
2026-05-19,15:26:19.425162,1779197179.425162,s,870.072044,s,35.8984375,mV,1.5871249437332153,V,37.712501525878906,°C
2026-05-19,15:26:24.411811,1779197184.411811,s,875.058693,s,35.8984375,mV,1.5862499475479126,V,37.650001525878906,°C
2026-05-19,15:26:29.425642,1779197189.425642,s,880.072524,s,35.890625,mV,1.5855000019073486,V,37.57500076293945,°C
2026-05-19,15:26:34.412099,1779197194.412099,s,885.058981,s,35.890625,mV,1.5847500562667847,V,37.5,°C
2026-05-19,15:26:39.426093,1779197199.426093,s,890.072975,s,35.890625,mV,1.58412504196167,V,37.4375,°C
2026-05-19,15:26:44.412737,1779197204.412737,s,895.059619,s,35.890625,mV,1.5833749771118164,V,37.36249923706055,°C
2026-05-19,15:26:49.426566,1779197209.426566,s,900.073448,s,35.8828125,mV,1.5826250314712524,V,37.287498474121094,°C
2026-05-19,15:26:54.413278,1779197214.413278,s,905.06016,s,35.8828125,mV,1.5820000171661377,V,37.224998474121094,°C
2026-05-19,15:26:59.427880,1779197219.42788,s,910.074762,s,35.8828125,mV,1.5812499523162842,V,37.162498474121094,°C
2026-05-19,15:27:04.413818,1779197224.413818,s,915.0607,s,35.8828125,mV,1.580625057220459,V,37.099998474121094,°C
2026-05-19,15:27:09.428297,1779197229.428297,s,920.075179,s,35.875,mV,1.5800000429153442,V,37.037498474121094,°C
2026-05-19,15:27:14.414357,1779197234.414357,s,925.061239,s,35.875,mV,1.5793750286102295,V,36.974998474121094,°C
2026-05-19,15:27:19.429803,1779197239.429803,s,930.076685,s,35.875,mV,1.578624963760376,V,36.912498474121094,°C
2026-05-19,15:27:24.414857,1779197244.414857,s,935.061739,s,35.875,mV,1.578125,V,36.849998474121094,°C
2026-05-19,15:27:29.430223,1779197249.430223,s,940.077105,s,35.8671875,mV,1.577375054359436,V,36.787498474121094,°C
2026-05-19,15:27:34.415402,1779197254.415402,s,945.062284,s,35.8671875,mV,1.5768749713897705,V,36.724998474121094,°C
2026-05-19,15:27:39.430746,1779197259.430746,s,950.077628,s,35.859375,mV,1.5762499570846558,V,36.67499923706055,°C
2026-05-19,15:27:44.415916,1779197264.415916,s,955.062798,s,35.859375,mV,1.575624942779541,V,36.61249923706055,°C
2026-05-19,15:27:49.431139,1779197269.431139,s,960.078021,s,35.859375,mV,1.5750000476837158,V,36.54999923706055,°C
2026-05-19,15:27:54.416314,1779197274.416314,s,965.063196,s,35.859375,mV,1.5744999647140503,V,36.5,°C
2026-05-19,15:27:59.432506,1779197279.432506,s,970.079388,s,35.8515625,mV,1.5740000009536743,V,36.45000076293945,°C
2026-05-19,15:28:04.416876,1779197284.416876,s,975.063758,s,35.84375,mV,1.5733749866485596,V,36.38750076293945,°C
2026-05-19,15:28:09.433856,1779197289.433856,s,980.080738,s,35.84375,mV,1.5728750228881836,V,36.337501525878906,°C
2026-05-19,15:28:14.417386,1779197294.417386,s,985.064268,s,35.84375,mV,1.5722500085830688,V,36.287498474121094,°C
2026-05-19,15:28:19.434231,1779197299.434231,s,990.081113,s,35.8359375,mV,1.5717500448226929,V,36.224998474121094,°C
2026-05-19,15:28:24.417943,1779197304.417943,s,995.064825,s,35.8359375,mV,1.5712499618530273,V,36.1875,°C
2026-05-19,15:28:29.435560,1779197309.43556,s,1000.082442,s,35.828125,mV,1.5707499980926514,V,36.13750076293945,°C
2026-05-19,15:28:34.418907,1779197314.418907,s,1005.065789,s,35.828125,mV,1.5702500343322754,V,36.087501525878906,°C
2026-05-19,15:28:39.436595,1779197319.436595,s,1010.083477,s,35.828125,mV,1.5696250200271606,V,36.037498474121094,°C
2026-05-19,15:28:44.419425,1779197324.419425,s,1015.066307,s,35.8203125,mV,1.5692499876022339,V,35.98749923706055,°C
2026-05-19,15:28:49.436910,1779197329.43691,s,1020.083792,s,35.8203125,mV,1.568750023841858,V,35.95000076293945,°C
2026-05-19,15:28:54.419901,1779197334.419901,s,1025.066783,s,35.8203125,mV,1.5682499408721924,V,35.900001525878906,°C
2026-05-19,15:28:59.437291,1779197339.437291,s,1030.084173,s,35.8203125,mV,1.5677499771118164,V,35.849998474121094,°C
2026-05-19,15:29:04.420395,1779197344.420395,s,1035.067277,s,35.8125,mV,1.5673749446868896,V,35.8125,°C
2026-05-19,15:29:09.438802,1779197349.438802,s,1040.085684,s,35.8046875,mV,1.5668749809265137,V,35.76250076293945,°C
2026-05-19,15:29:14.420850,1779197354.42085,s,1045.067732,s,35.8046875,mV,1.566499948501587,V,35.712501525878906,°C
2026-05-19,15:29:19.439569,1779197359.439569,s,1050.086451,s,35.8046875,mV,1.565999984741211,V,35.67499923706055,°C
2026-05-19,15:29:24.422259,1779197364.422259,s,1055.069141,s,35.796875,mV,1.5656249523162842,V,35.63750076293945,°C
2026-05-19,15:29:29.440426,1779197369.440426,s,1060.087308,s,35.796875,mV,1.5651249885559082,V,35.587501525878906,°C
2026-05-19,15:29:34.422622,1779197374.422622,s,1065.069504,s,35.796875,mV,1.5647499561309814,V,35.54999923706055,°C
2026-05-19,15:29:39.440991,1779197379.440991,s,1070.087873,s,35.7890625,mV,1.5642499923706055,V,35.51250076293945,°C
2026-05-19,15:29:44.423085,1779197384.423085,s,1075.069967,s,35.7890625,mV,1.5638749599456787,V,35.462501525878906,°C
2026-05-19,15:29:49.442252,1779197389.442252,s,1080.089134,s,35.7890625,mV,1.5635000467300415,V,35.42499923706055,°C
2026-05-19,15:29:54.423471,1779197394.423471,s,1085.070353,s,35.78125,mV,1.5631250143051147,V,35.38750076293945,°C
2026-05-19,15:29:59.442819,1779197399.442819,s,1090.089701,s,35.78125,mV,1.562749981880188,V,35.349998474121094,°C
2026-05-19,15:30:04.424054,1779197404.424054,s,1095.070936,s,35.78125,mV,1.562250018119812,V,35.3125,°C
2026-05-19,15:30:09.444173,1779197409.444173,s,1100.091055,s,35.78125,mV,1.5618749856948853,V,35.275001525878906,°C
2026-05-19,15:30:14.424573,1779197414.424573,s,1105.071455,s,35.7734375,mV,1.5614999532699585,V,35.23749923706055,°C
2026-05-19,15:30:19.444540,1779197419.44454,s,1110.091422,s,35.7734375,mV,1.5612499713897705,V,35.20000076293945,°C
2026-05-19,15:30:24.425161,1779197424.425161,s,1115.072043,s,35.765625,mV,1.5608750581741333,V,35.162498474121094,°C
2026-05-19,15:30:29.445953,1779197429.445953,s,1120.092835,s,35.765625,mV,1.5605000257492065,V,35.13750076293945,°C
2026-05-19,15:30:34.426395,1779197434.426395,s,1125.073277,s,35.765625,mV,1.5601249933242798,V,35.099998474121094,°C
2026-05-19,15:30:39.447358,1779197439.447358,s,1130.09424,s,35.7578125,mV,1.559749960899353,V,35.0625,°C
